## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[results/mapped/A-1.sorted.minimap.bam] OUTPUT=results/dedup/A-1.bam METRICS_FILE=results/qc/dedup/A-1.metrics.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Jul 13 19:04:35 MSK 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	0	50000	4	0	0	2	0	0.00004	624983341

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	49996	49996
2.0	1.99992	2	2
3.0	2.99976	0	0
4.0	3.99952	0	0
5.0	4.9992	0	0
6.0	5.9988	0	0
7.0	6.99832	0	0
8.0	7.99776	0	0
9.0	8.997121	0	0
10.0	9.996401	0	0
11.0	10.995601	0	0
12.0	11.994721	0	0
13.0	12.993762	0	0
14.0	13.992722	0	0
15.0	14.991603	0	0
16.0	15.990404	0	0
17.0	16.989124	0	0
18.0	17.987765	0	0
19.0	18.986326	0	0
20.0	19.984807	0	0
21.0	20.983209	0	0
22.0	21.98153	0	0
23.0	22.979772	0	0
24.0	23.977933	0	0
25.0	24.976015	0	0
26.0	25.974017	0	0
27.0	26.971939	0	0
28.0	27.969781	0	0
29.0	28.967544	0	0
30.0	29.965226	0	0
31.0	30.962829	0	0
32.0	31.960352	0	0
33.0	32.957795	0	0
34.0	33.955159	0	0
35.0	34.952442	0	0
36.0	35.949646	0	0
37.0	36.94677	0	0
38.0	37.943815	0	0
39.0	38.940779	0	0
40.0	39.937664	0	0
41.0	40.934469	0	0
42.0	41.931194	0	0
43.0	42.92784	0	0
44.0	43.924406	0	0
45.0	44.920892	0	0
46.0	45.917298	0	0
47.0	46.913625	0	0
48.0	47.909872	0	0
49.0	48.906039	0	0
50.0	49.902127	0	0
51.0	50.898135	0	0
52.0	51.894063	0	0
53.0	52.889911	0	0
54.0	53.88568	0	0
55.0	54.881369	0	0
56.0	55.876979	0	0
57.0	56.872509	0	0
58.0	57.867959	0	0
59.0	58.86333	0	0
60.0	59.858621	0	0
61.0	60.853832	0	0
62.0	61.848964	0	0
63.0	62.844016	0	0
64.0	63.838988	0	0
65.0	64.833881	0	0
66.0	65.828695	0	0
67.0	66.823429	0	0
68.0	67.818083	0	0
69.0	68.812657	0	0
70.0	69.807152	0	0
71.0	70.801568	0	0
72.0	71.795904	0	0
73.0	72.79016	0	0
74.0	73.784337	0	0
75.0	74.778434	0	0
76.0	75.772452	0	0
77.0	76.766391	0	0
78.0	77.760249	0	0
79.0	78.754029	0	0
80.0	79.747728	0	0
81.0	80.741349	0	0
82.0	81.734889	0	0
83.0	82.728351	0	0
84.0	83.721733	0	0
85.0	84.715035	0	0
86.0	85.708258	0	0
87.0	86.701401	0	0
88.0	87.694465	0	0
89.0	88.68745	0	0
90.0	89.680355	0	0
91.0	90.67318	0	0
92.0	91.665927	0	0
93.0	92.658594	0	0
94.0	93.651181	0	0
95.0	94.643689	0	0
96.0	95.636118	0	0
97.0	96.628467	0	0
98.0	97.620737	0	0
99.0	98.612927	0	0
100.0	99.605038	0	0

